"","species","species_id_method","strain","isotype","previous_names","release","source_lab","latitude","longitude","landscape","locality_description","substrate","substrate_comments","substrate_temp","ambient_temp","ambient_humidity","associated_organism","inbreeding_state","sampled_by","isolated_by","sampling_date","sampling_date_comments","notes","set","issues","issue_notes","isotype_ref_strain","wgs_seq"
"11","Caenorhabditis briggsae","ITS2","ECA2893",NA,"S-14620",NA,"ECA",21.3570225,-157.764294100002,"Wild forest","Oahu","Rotting_flower","",23.6,27.2,75.5,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"12","Caenorhabditis briggsae","ITS2","ECA2894",NA,"S-14629",NA,"ECA",21.3570225,-157.764294100002,"Wild forest","Oahu","Rotting_flower","",23.6,27.2,75.5,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"13","Caenorhabditis tropicalis","ITS2","ECA2900",NA,"S-14683",NA,"ECA",21.355658,-157.7645652,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","On top of leaf from bird of paradise",25.2,27.9,74.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"14","Caenorhabditis tropicalis","ITS2","ECA2899",NA,"S-14671",NA,"ECA",21.355658,-157.7645652,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","On top of leaf from bird of paradise",25.2,27.9,74.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"15","Caenorhabditis tropicalis","ITS2","ECA2910",NA,"S-14757",NA,"ECA",21.355658,-157.7645652,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","On top of leaf from bird of paradise",25.2,27.9,74.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"16","Caenorhabditis tropicalis","ITS2","ECA2020",NA,"S-14668",NA,"ECA",21.355658,-157.7645652,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","On top of leaf from bird of paradise",25.2,27.9,74.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"17","Caenorhabditis tropicalis","ITS2","ECA2898",NA,"S-14667",NA,"ECA",21.355658,-157.7645652,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","On top of leaf from bird of paradise",25.2,27.9,74.2,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"18","Caenorhabditis oiwi","ITS2","ECA2911",NA,"S-14759",NA,"ECA",21.3548136,-157.767126599998,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","Fig?",23.4,26.5,78.8,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"19","Caenorhabditis oiwi","ITS2","ECA2889",NA,"S-14587",NA,"ECA",21.3548136,-157.767126599998,"Wild forest","Oahu","Rotting_nut/pod/seed/fruit","Fig?",23.4,26.5,78.8,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-27,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"20","Caenorhabditis elegans","ITS2","ECA2901",NA,"S-14702",NA,"ECA",19.1138420999982,-155.8212175,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",17.8,18.3,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"21","Caenorhabditis elegans","ITS2","ECA2902",NA,"S-14703",NA,"ECA",19.1138420999982,-155.8212175,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",17.8,18.3,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"22","Caenorhabditis elegans","ITS2","ECA2903",NA,"S-14704",NA,"ECA",19.1138420999982,-155.8212175,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",17.8,18.3,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"23","Caenorhabditis elegans","ITS2","ECA2904",NA,"S-14727",NA,"ECA",19.1138420999982,-155.8212175,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",17.8,18.3,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"24","Caenorhabditis elegans","ITS2","ECA2905",NA,"S-14728",NA,"ECA",19.1138420999982,-155.8212175,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",17.8,18.3,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"25","Caenorhabditis elegans","ITS2","ECA2906",NA,"S-14741",NA,"ECA",19.1138420999982,-155.8212175,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",17.8,18.3,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"26","Caenorhabditis elegans","ITS2","ECA2895",NA,"S-14652",NA,"ECA",19.1117822999985,-155.823337700002,"Wild forest","Big Island, Manuka Nature Trail","Vegetal_litter/mix","",18.5,17.6,86.7,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"27","Caenorhabditis elegans","ITS2","ECA2908",NA,"S-14755",NA,"ECA",19.1105863825225,-155.826383699997,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",20,22.4,82.8,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"28","Caenorhabditis elegans","ITS2","ECA2917",NA,"S-14738",NA,"ECA",19.1105863825225,-155.826383699997,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",20,22.4,82.8,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"29","Caenorhabditis briggsae","ITS2","ECA2907",NA,"S-14747",NA,"ECA",19.1105863825225,-155.826383699997,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",20,22.4,82.8,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"30","Caenorhabditis briggsae","ITS2","ECA2909",NA,"S-14756",NA,"ECA",19.1105863825225,-155.826383699997,"Wild forest","Big Island, Manuka Nature Trail","Rotting_flower","",20,22.4,82.8,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"31","Caenorhabditis elegans","ITS2","ECA2887",NA,"S-14568",NA,"ECA",20.0399356999982,-155.4409035,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.8,22.4,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"32","Caenorhabditis elegans","ITS2","ECA2886",NA,"S-14567",NA,"ECA",20.0399356999982,-155.4409035,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.8,22.4,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"33","Caenorhabditis elegans","ITS2","ECA2888",NA,"S-14569",NA,"ECA",20.0399356999982,-155.4409035,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.8,22.4,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"34","Caenorhabditis elegans","ITS2","ECA2885",NA,"S-14566",NA,"ECA",20.0399356999982,-155.4409035,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.8,22.4,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"35","Caenorhabditis elegans","ITS2","ECA2884",NA,"S-14565",NA,"ECA",20.0399356999982,-155.4409035,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.8,22.4,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"36","Caenorhabditis elegans","ITS2","ECA2896",NA,"S-14653",NA,"ECA",20.0399356999982,-155.4409035,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.8,22.4,86.2,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"37","Caenorhabditis elegans","ITS2","ECA2881",NA,"S-14559",NA,"ECA",19.442681,-155.301629400002,"Wild forest","Big Island, Kipuka Puaulu Trail","Vegetal_litter/mix","",16.9,20.5,76.4,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"38","Caenorhabditis elegans","ITS2","ECA2882",NA,"S-14560",NA,"ECA",19.442681,-155.301629400002,"Wild forest","Big Island, Kipuka Puaulu Trail","Vegetal_litter/mix","",16.9,20.5,76.4,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"39","Caenorhabditis elegans","ITS2","ECA2915",NA,"S-14654",NA,"ECA",19.4422725,-155.301672299999,"Wild forest","Big Island, Kipuka Puaulu Trail","Vegetal_litter/mix","",17.6,21.1,76.9,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"40","Caenorhabditis elegans","ITS2","ECA2897",NA,"S-14658",NA,"ECA",19.4422725,-155.301672299999,"Wild forest","Big Island, Kipuka Puaulu Trail","Vegetal_litter/mix","",17.6,21.1,76.9,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-29,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"41","Caenorhabditis sp pLS-2018","ITS2","ECA2863",NA,"S-14132",NA,"ECA",20.040248,-155.442187800003,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.6,21.1,84,NA,NA,"erik.andersen@northwestern.edu","sophia.gibson@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"42","Caenorhabditis sp pLS-2018","ITS2","ECA2864",NA,"S-14176",NA,"ECA",20.040248,-155.442187800003,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.6,21.1,84,NA,NA,"erik.andersen@northwestern.edu","sophia.gibson@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"43","Caenorhabditis sp pLS-2018","ITS2","ECA2865",NA,"S-14177",NA,"ECA",20.040248,-155.442187800003,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.6,21.1,84,NA,NA,"erik.andersen@northwestern.edu","sophia.gibson@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"44","Caenorhabditis elegans","ITS2","ECA2916",NA,"S-14672",NA,"ECA",20.0403338999981,-155.442427800002,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.7,22.4,83.3,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"45","Caenorhabditis elegans","ITS2","ECA2873",NA,"S-14355",NA,"ECA",20.041107,-155.4440528,"Wild forest","Big Island, Kalopa State Recreation Area","Vegetal_litter/mix","Isopods",20.4,22.4,84.1,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"46","Caenorhabditis elegans","ITS2","ECA2874",NA,"S-14373",NA,"ECA",20.0403085,-155.442428099999,"Wild forest","Big Island, Kalopa State Recreation Area","Vegetal_litter/mix","",19.8,22.1,84.3,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"47","Caenorhabditis elegans","ITS2","ECA2861",NA,"S-14050",NA,"ECA",20.0403085,-155.442428099999,"Wild forest","Big Island, Kalopa State Recreation Area","Vegetal_litter/mix","",19.8,22.1,84.3,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"48","Caenorhabditis elegans","ITS2","ECA2914",NA,"S-14308",NA,"ECA",20.0402336,-155.442449,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.8,21.7,84.3,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"49","Caenorhabditis elegans","ITS2","ECA2913",NA,"S-14220",NA,"ECA",20.0402336,-155.442449,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.8,21.7,84.3,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"50","Caenorhabditis elegans","ITS2","ECA2919",NA,"S-14217",NA,"ECA",20.0402336,-155.442449,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.8,21.7,84.3,NA,NA,"erik.andersen@northwestern.edu","robyn.tanny@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"51","Caenorhabditis elegans","ITS2","ECA2918",NA,"S-14204",NA,"ECA",20.0398058,-155.441423399997,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.6,21.1,84.5,NA,NA,"erik.andersen@northwestern.edu","sam.widmayer@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"52","Caenorhabditis elegans","ITS2","ECA2866",NA,"S-14203",NA,"ECA",20.0398468,-155.4414854,"Wild forest","Big Island, Kalopa State Recreation Area","Vegetal_litter/mix","",19.4,21.1,82.8,NA,NA,"erik.andersen@northwestern.edu","sophia.gibson@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"53","Caenorhabditis elegans","ITS2","ECA2862",NA,"S-14065",NA,"ECA",20.0398375,-155.4414636,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.7,21.7,83.8,NA,NA,"erik.andersen@northwestern.edu","sophia.gibson@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"54","Caenorhabditis briggsae","ITS2","ECA2912",NA,"S-14199",NA,"ECA",20.0399351000019,-155.441194,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.8,22.4,83.3,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"55","Caenorhabditis briggsae","ITS2","ECA2869",NA,"S-14246",NA,"ECA",20.0399351000019,-155.441194,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.8,22.4,83.3,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"56","Caenorhabditis elegans","ITS2","ECA2868",NA,"S-14245",NA,"ECA",20.039940899999,-155.441166551167,"Wild forest","Big Island, Kalopa State Recreation Area","Vegetal_litter/mix","Under 6609",19.8,21.7,83.8,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"57","Caenorhabditis elegans","ITS2","ECA2872",NA,"S-14268",NA,"ECA",20.0398784,-155.441563299998,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.3,21.1,83.8,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"58","Caenorhabditis elegans","ITS2","ECA2871",NA,"S-14266",NA,"ECA",20.0398784,-155.441563299998,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.3,21.1,83.8,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"59","Caenorhabditis elegans","ITS2","ECA2870",NA,"S-14265",NA,"ECA",20.0398784,-155.441563299998,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",19.3,21.1,83.8,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
"60","Caenorhabditis briggsae","ITS2","ECA2867",NA,"S-14243",NA,"ECA",20.039939,-155.441237799998,"Wild forest","Big Island, Kalopa State Recreation Area","Rotting_nut/pod/seed/fruit","",20.1,22.1,84.3,NA,NA,"erik.andersen@northwestern.edu","emily.koury@northwestern.edu",2021-06-30,NA,"Fulcrum collection 2021JuneHawaii",NA,NA,NA,NA,NA
